Category,Event Name (Constant),Event Value (CleverTap),Implemented?,Notes
Personalization,personalizeContinueClicked,personalize_continue_clicked,No,Defined only
Personalization,personalizationCompleted,personalization_completed,No,Defined only
Personalization,personalizeScreenAbandoned,personalize_screen_abandoned,No,Defined only
Personalization,personalizeNoOptionsSelected,personalize_no_options_selected,No,Defined only
Personalization,personalizeScreenSkipped,personalize_screen_skipped,No,Defined only
Personalization,personalizeExperienceScreenViewed,personalize_experience_screen_viewed,No,Defined only
Personalization,personalizeExperienceOptionSelected,personalize_experience_option_selected,No,Defined only
Personalization,personalizeExperienceOptionDeselected,personalize_experience_option_deselected,No,Defined only
Personalization,personalizeExperienceContinueClicked,personalize_experience_continue_clicked,No,Defined only
Personalization,personalizeExperienceContinueSuccess,personalize_experience_continue_success,No,Defined only
Personalization,personalizeExperienceContinueFailed,personalize_experience_continue_failed,No,Defined only
Personalization,personalizeExperienceLogoutClicked,personalize_experience_logout_clicked,No,Defined only
Personalization,personalizeExperienceLogoutConfirmed,personalize_experience_logout_confirmed,No,Defined only
Personalization,personalizeExperienceOptionDisplayed,personalize_experience_option_displayed,No,Defined only
BSE V2 Onboarding,bseV2JourneyStarted,bse_v2_journey_started,No,Defined only
BSE V2 Onboarding,bseV2PanVerificationCompleted,bse_v2_pan_verification_completed,No,Defined only
BSE V2 Onboarding,bseV2HolderDetailsScreenViewed,bse_v2_holder_details_screen_viewed,Yes,Fired in holder_details_screen.dart initState
BSE V2 Onboarding,bseV2HolderDetailsFilled,bse_v2_holder_details_filled,No,Defined only
BSE V2 Onboarding,bseV2HolderDetailsSubmitted,bse_v2_holder_details_submitted,No,Defined only
BSE V2 Onboarding,bseV2BankVerificationScreenViewed,bse_v2_bank_verification_screen_viewed,Yes,Fired in bank_verification_screen.dart initState
BSE V2 Onboarding,bseV2BankDetailsEntered,bse_v2_bank_details_entered,No,Defined only
BSE V2 Onboarding,bseV2BankVerificationCompleted,bse_v2_bank_verification_completed,No,Defined only
BSE V2 Onboarding,bseV2OccupationDetailsScreenViewed,bse_v2_occupation_details_screen_viewed,Yes,Fired in occupation_details_screen.dart initState
BSE V2 Onboarding,bseV2OccupationDetailsFilled,bse_v2_occupation_details_filled,No,Defined only
BSE V2 Onboarding,bseV2OccupationDetailsSubmitted,bse_v2_occupation_details_submitted,No,Defined only
BSE V2 Onboarding,bseV2SignatureScreenViewed,bse_v2_signature_screen_viewed,Yes,Fired in signature_screen.dart initState
BSE V2 Onboarding,bseV2SignatureCompleted,bse_v2_signature_completed,No,Defined only
BSE V2 Onboarding,bseV2NomineeScreenViewed,bse_v2_nominee_screen_viewed,Yes,Fired in ucc_wizard_screen.dart initState
BSE V2 Onboarding,bseV2NomineeAdded,bse_v2_nominee_added,No,Defined only
BSE V2 Onboarding,bseV2SuccessScreenViewed,bse_v2_success_screen_viewed,Yes,Fired in onboarding_success_screen.dart initState
BSE V2 Onboarding,bseV2JourneyCompleted,bse_v2_journey_completed,No,Defined only
BSE V2 Onboarding,bseV2JourneyAbandoned,bse_v2_journey_abandoned,No,Defined only
BSE V2 Onboarding,bseV2HolderDetailsIncomplete,bse_v2_holder_details_incomplete,No,Defined only
BSE V2 Onboarding,bseV2BankVerificationFailed,bse_v2_bank_verification_failed,No,Defined only
BSE V2 Onboarding,bseV2OccupationDetailsIncomplete,bse_v2_occupation_details_incomplete,No,Defined only
BSE V2 Onboarding,bseV2SignatureFailed,bse_v2_signature_failed,No,Defined only
BSE V2 Onboarding,bseV2NomineeSkipped,bse_v2_nominee_skipped,No,Defined only
BSE V2 Onboarding,bseV2JourneyTimeout,bse_v2_journey_timeout,No,Defined only
Dashboard,dashboardScreenViewed,dashboard_screen_viewed,Yes,Fired in dashboard.dart initState
Dashboard,dashboardFirstVisit,dashboard_first_visit,No,Defined only
Dashboard,dashboardAssetsLoaded,dashboard_assets_loaded,No,Defined only
Dashboard,dashboardPortfolioViewed,dashboard_portfolio_viewed,No,Defined only
Dashboard,dashboardAssetClicked,dashboard_asset_clicked,No,Defined only
Dashboard,dashboardExplored,dashboard_explored,No,Defined only
Dashboard,dashboardFirstSessionCompleted,dashboard_first_session_completed,No,Defined only
Dashboard,dashboardFirstVisitAbandoned,dashboard_first_visit_abandoned,No,Defined only
Dashboard,dashboardAssetsLoadFailed,dashboard_assets_load_failed,No,Defined only
Dashboard,dashboardNoInteraction,dashboard_no_interaction,No,Defined only
Dashboard,dashboardFirstSessionShort,dashboard_first_session_short,No,Defined only
Dashboard,dashboardBottomTabClicked,dashboard_bottom_tab_clicked,No,Defined only
Dashboard,dashboardAssetCardClicked,dashboard_asset_card_clicked,No,Defined only
Dashboard,dashboardQuickActionClicked,dashboard_quick_action_clicked,No,Defined only
Dashboard,dashboardSearchUsed,dashboard_search_used,No,Defined only
Dashboard,dashboardNavigationCompleted,dashboard_navigation_completed,No,Defined only
Dashboard,dashboardNavigationAbandoned,dashboard_navigation_abandoned,No,Defined only
Dashboard,dashboardSearchFailed,dashboard_search_failed,No,Defined only
Dashboard,dashboardAssetLoadFailed,dashboard_asset_load_failed,No,Defined only
Dashboard,dashboardNavigationConfused,dashboard_navigation_confused,No,Defined only
Dashboard,dashboardPullToRefresh,dashboard_pull_to_refresh,No,Defined only
Dashboard,dashboardAmountVisibilityToggled,dashboard_amount_visibility_toggled,No,Defined only
Dashboard,dashboardFamilyModeToggled,dashboard_family_mode_toggled,No,Defined only
Dashboard,dashboardBackPressExit,dashboard_back_press_exit,No,Defined only
Dashboard,dashboardAvatarClicked,dashboard_avatar_clicked,No,Defined only
Dashboard,dashboardSearchIconClicked,dashboard_search_icon_clicked,No,Defined only
Dashboard,dashboardNotificationsIconClicked,dashboard_notifications_icon_clicked,No,Defined only
Dashboard,dashboardLogoutDialogShown,dashboard_logout_dialog_shown,No,Defined only
Dashboard,dashboardLogoutConfirmed,dashboard_logout_confirmed,No,Defined only
Dashboard,dashboardLogoutCancelled,dashboard_logout_cancelled,No,Defined only
Dashboard,dashboardBottomTabHomeClicked,dashboard_bottom_tab_home_clicked,Yes,Fired in stacked_navbar.dart
Dashboard,dashboardBottomTabInvestmentsClicked,dashboard_bottom_tab_investments_clicked,Yes,Fired in stacked_navbar.dart
Dashboard,dashboardBottomTabMfHoldingsClicked,dashboard_bottom_tab_mf_holdings_clicked,No,Defined only
Dashboard,dashboardBottomNavHomeClicked,dashboard_bottom_nav_home_clicked,No,Defined only
Dashboard,dashboardBottomNavInvestmentsClicked,dashboard_bottom_nav_investments_clicked,No,Defined only
Dashboard,dashboardBottomNavMutualFundsClicked,dashboard_bottom_nav_mutual_funds_clicked,No,Defined only
Dashboard,dashboardBottomNavAdvisoryClicked,dashboard_bottom_nav_advisory_clicked,No,Defined only
Dashboard,dashboardAssetBanksCardClicked,dashboard_asset_banks_card_clicked,No,Defined only
Dashboard,dashboardAssetInsuranceCardClicked,dashboard_asset_insurance_card_clicked,No,Defined only
Dashboard,dashboardAssetInvestmentsCardClicked,dashboard_asset_investments_card_clicked,No,Defined only
Dashboard,dashboardAssetNpsCardClicked,dashboard_asset_nps_card_clicked,No,Defined only
Dashboard,dashboardAssetMutualFundsCardClicked,dashboard_asset_mutual_funds_card_clicked,No,Defined only
Dashboard,dashboardAssetAddCardClicked,dashboard_asset_add_card_clicked,No,Defined only
Dashboard,dashboardAssetLinkNowClicked,dashboard_asset_link_now_clicked,No,Defined only
Dashboard,dashboardAssetInfoIconClicked,dashboard_asset_info_icon_clicked,No,Defined only
Dashboard,dashboardSpendsCardClicked,dashboard_spends_card_clicked,No,Defined only
Dashboard,dashboardInvestmentsCardClicked,dashboard_investments_card_clicked,No,Defined only
Dashboard,dashboardRecommendationFamilyFinanceClicked,dashboard_recommendation_family_finance_clicked,No,Defined only
Dashboard,dashboardRecommendationPaperTradingClicked,dashboard_recommendation_paper_trading_clicked,No,Defined only
Dashboard,dashboardKycCardClicked,dashboard_kyc_card_clicked,No,Defined only
Dashboard,dashboardConsentBootstrapCompleted,dashboard_consent_bootstrap_completed,No,Defined only
Dashboard,dashboardEntryModeDecided,dashboard_entry_mode_decided,No,Defined only
Dashboard,dashboardFamilyChartManageClicked,dashboard_family_chart_manage_clicked,No,Defined only
Dashboard,dashboardFamilyModeSwitchClicked,dashboard_family_mode_switch_clicked,No,Defined only
Dashboard,dashboardLinkDataBottomSheetShown,dashboard_link_data_bottom_sheet_shown,No,Defined only
Dashboard,dashboardLinkDataNowClicked,dashboard_link_data_now_clicked,No,Defined only
Dashboard,dashboardNavigateToBanks,dashboard_navigate_to_banks,No,Defined only
Dashboard,dashboardNavigateToInsurance,dashboard_navigate_to_insurance,No,Defined only
Dashboard,dashboardNavigateToInvestments,dashboard_navigate_to_investments,No,Defined only
Dashboard,dashboardNavigateToNps,dashboard_navigate_to_nps,No,Defined only
Dashboard,dashboardNavigateToMutualFunds,dashboard_navigate_to_mutual_funds,No,Defined only
Dashboard,dashboardNavigateToConnections,dashboard_navigate_to_connections,No,Defined only
Dashboard,dashboardNavigateToSaafeConnection,dashboard_navigate_to_saafe_connection,No,Defined only
Dashboard,dashboardMfServiceUnavailableShown,dashboard_mf_service_unavailable_shown,No,Defined only
Dashboard,dashboardUnlockCardViewed,dashboard_unlock_card_viewed,No,Defined only
Dashboard,dashboardUnlockCardClicked,dashboard_unlock_card_clicked,No,Defined only
Dashboard,dashboardSetupCarouselViewed,dashboard_setup_carousel_viewed,No,Defined only
Dashboard,dashboardSetupTaskCardClicked,dashboard_setup_task_card_clicked,No,Defined only
Dashboard,dashboardPivotInfoLearnMoreClicked,dashboard_pivot_info_learn_more_clicked,No,Defined only
Dashboard,dashboardUnlinkedCtaClicked,dashboard_unlinked_cta_clicked,No,Defined only
Dashboard,dashboardScrollDepthReached,dashboard_scroll_depth_reached,No,Defined only
Account Linking,dataFetchInitiated,data_fetch_initiated,No,Defined only
Account Linking,dataFetchScreenViewed,data_fetch_screen_viewed,Yes,Fired in saafe_data_fetch.dart initState
Account Linking,dataFetchProviderSelected,data_fetch_provider_selected,No,Defined only
Account Linking,dataFetchConsentShown,data_fetch_consent_shown,No,Defined only
Account Linking,dataFetchConsentAccepted,data_fetch_consent_accepted,No,Defined only
Account Linking,dataFetchRedirectInitiated,data_fetch_redirect_initiated,No,Defined only
Account Linking,dataFetchProviderCompleted,data_fetch_provider_completed,No,Defined only
Account Linking,dataFetchSyncStarted,data_fetch_sync_started,No,Defined only
Account Linking,dataFetchCompleted,data_fetch_completed,No,Defined only
Account Linking,dataFetchAbandoned,data_fetch_abandoned,No,Defined only
Account Linking,dataFetchConsentDeclined,data_fetch_consent_declined,No,Defined only
Account Linking,dataFetchRedirectFailed,data_fetch_redirect_failed,No,Defined only
Account Linking,dataFetchProviderError,data_fetch_provider_error,No,Defined only
Account Linking,dataFetchSyncFailed,data_fetch_sync_failed,No,Defined only
Account Linking,dataFetchTimeout,data_fetch_timeout,No,Defined only
Account Linking,accountRefreshClicked,account_refresh_clicked,No,Defined only
Data Fetch Status,dataFetchStatusScreenViewed,data_fetch_status_screen_viewed,Yes,Fired in saafe_data_fetch.dart initState
Data Fetch Status,dataFetchStatusBackButtonClicked,data_fetch_status_back_button_clicked,No,Defined only
Data Fetch Status,dataFetchStatusInfoIconClicked,data_fetch_status_info_icon_clicked,No,Defined only
Data Fetch Status,dataFetchStatusTabAccountsClicked,data_fetch_status_tab_accounts_clicked,No,Defined only
Data Fetch Status,dataFetchStatusTabMutualFundsClicked,data_fetch_status_tab_mutual_funds_clicked,No,Defined only
Data Fetch Status,dataFetchStatusManualRefreshInitiated,data_fetch_status_manual_refresh_initiated,No,Defined only
Data Fetch Status,dataFetchStatusManualRefreshSuccess,data_fetch_status_manual_refresh_success,No,Defined only
Data Fetch Status,dataFetchStatusManualRefreshFailed,data_fetch_status_manual_refresh_failed,No,Defined only
Data Fetch Status,dataFetchStatusManualRefreshDisabledClicked,data_fetch_status_manual_refresh_disabled_clicked,No,Defined only
Data Fetch Status,dataFetchStatusLastFetchViewed,data_fetch_status_last_fetch_viewed,No,Defined only
Data Fetch Status,dataFetchStatusLinkNowAccountsClicked,data_fetch_status_link_now_accounts_clicked,No,Defined only
Data Fetch Status,dataFetchStatusLinkNowMutualFundsClicked,data_fetch_status_link_now_mutual_funds_clicked,No,Defined only
Data Fetch Status,dataFetchStatusAccountCardViewed,data_fetch_status_account_card_viewed,No,Defined only
Data Fetch Status,dataFetchStatusAccountCardClicked,data_fetch_status_account_card_clicked,No,Defined only
Data Fetch Status,dataFetchStatusMfUpdateAvailableCardViewed,data_fetch_status_mf_update_available_card_viewed,No,Defined only
Data Fetch Status,dataFetchStatusMfOutdatedWarningCardViewed,data_fetch_status_mf_outdated_warning_card_viewed,No,Defined only
Data Fetch Status,dataFetchStatusMfUpdateNowClicked,data_fetch_status_mf_update_now_clicked,No,Defined only
Data Fetch Status,dataFetchStatusServiceOutageCardViewed,data_fetch_status_service_outage_card_viewed,No,Defined only
Data Fetch Status,dataFetchStatusInfoBottomSheetOpened,data_fetch_status_info_bottom_sheet_opened,No,Defined only
Data Fetch Status,dataFetchStatusInfoBottomSheetClosed,data_fetch_status_info_bottom_sheet_closed,No,Defined only
Data Fetch Status,dataFetchStatusLoadingStarted,data_fetch_status_loading_started,No,Defined only
Data Fetch Status,dataFetchStatusLoadingCompleted,data_fetch_status_loading_completed,No,Defined only
Data Fetch Status,dataFetchStatusLoadingFailed,data_fetch_status_loading_failed,No,Defined only
Data Fetch Status,dataFetchStatusPollingStarted,data_fetch_status_polling_started,No,Defined only
Data Fetch Status,dataFetchStatusPollingStopped,data_fetch_status_polling_stopped,No,Defined only
Data Fetch Status,dataFetchStatusPollingUpdateReceived,data_fetch_status_polling_update_received,No,Defined only
Investments,investmentsScreenViewed,investments_screen_viewed,Yes,Fired in investments.dart
Investments,investmentsPullToRefresh,investments_pull_to_refresh,No,Defined only
Investments,investmentsAmountVisibilityToggled,investments_amount_visibility_toggled,No,Defined only
Investments,investmentsBackButtonClicked,investments_back_button_clicked,No,Defined only
Investments,investmentsStatusButtonClicked,investments_status_button_clicked,No,Defined only
Investments,investmentsSpeakToAdvisorClicked,investments_speak_to_advisor_clicked,No,Defined only
Investments,investmentsCategoryAllSelected,investments_category_all_selected,No,Defined only
Investments,investmentsCategoryEquitySelected,investments_category_equity_selected,No,Defined only
Investments,investmentsCategoryMutualFundsSelected,investments_category_mutual_funds_selected,No,Defined only
Investments,investmentsCategoryEtfSelected,investments_category_etf_selected,No,Defined only
Investments,investmentsNomineeSpeakToAdvisorClicked,investments_nominee_speak_to_advisor_clicked,No,Defined only
Investments,investmentsMfUpdateHoldingsCardClicked,investments_mf_update_holdings_card_clicked,No,Defined only
Investments,investmentsMfServiceOutageShown,investments_mf_service_outage_shown,No,Defined only
Investments,investmentsMfNavDateInfoShown,investments_mf_nav_date_info_shown,No,Defined only
Investments,investmentsEquityPriceUpdateInfoShown,investments_equity_price_update_info_shown,No,Defined only
Investments,investmentsEtfPriceUpdateInfoShown,investments_etf_price_update_info_shown,No,Defined only
Investments,investmentsMfHoldingCardClicked,investments_mf_holding_card_clicked,No,Defined only
Investments,investmentsMfHoldingFundNameClicked,investments_mf_holding_fund_name_clicked,No,Defined only
Investments,investmentsMfHoldingTransactionsClicked,investments_mf_holding_transactions_clicked,No,Defined only
Investments,investmentsMfHoldingAvgBuyPriceInfoClicked,investments_mf_holding_avg_buy_price_info_clicked,No,Defined only
Investments,investmentsMfHoldingXirrInfoClicked,investments_mf_holding_xirr_info_clicked,No,Defined only
Investments,investmentsStockHoldingCardClicked,investments_stock_holding_card_clicked,Yes,Fired in stock_holding_card.dart
Investments,investmentsStockHoldingTransactionsClicked,investments_stock_holding_transactions_clicked,Yes,Fired in stock_holding_card.dart
Investments,investmentsStockHoldingAvgBuyPriceEditClicked,investments_stock_holding_avg_buy_price_edit_clicked,Yes,Fired in stock_holding_card.dart
Investments,investmentsStockHoldingAvgBuyPriceEditSaved,investments_stock_holding_avg_buy_price_edit_saved,Yes,Fired in stock_holding_card.dart
Investments,investmentsStockHoldingAvgBuyPriceEditCancelled,investments_stock_holding_avg_buy_price_edit_cancelled,Yes,Fired in stock_holding_card.dart
Investments,investmentsStockHoldingAvgBuyPriceInfoClicked,investments_stock_holding_avg_buy_price_info_clicked,Yes,Fired in stock_holding_card.dart
Investments,investmentsStockHoldingXirrInfoClicked,investments_stock_holding_xirr_info_clicked,Yes,Fired in stock_holding_card.dart
Investments,investmentsEtfHoldingCardClicked,investments_etf_holding_card_clicked,Yes,Fired in etf_holding_card.dart
Investments,investmentsEtfHoldingTransactionsClicked,investments_etf_holding_transactions_clicked,Yes,Fired in etf_holding_card.dart
Investments,investmentsEtfHoldingAvgBuyPriceEditClicked,investments_etf_holding_avg_buy_price_edit_clicked,Yes,Fired in etf_holding_card.dart
Investments,investmentsEtfHoldingAvgBuyPriceEditSaved,investments_etf_holding_avg_buy_price_edit_saved,Yes,Fired in etf_holding_card.dart
Investments,investmentsEtfHoldingAvgBuyPriceEditCancelled,investments_etf_holding_avg_buy_price_edit_cancelled,Yes,Fired in etf_holding_card.dart
Investments,investmentsEtfHoldingAvgBuyPriceInfoClicked,investments_etf_holding_avg_buy_price_info_clicked,Yes,Fired in etf_holding_card.dart
Investments,investmentsEtfHoldingXirrInfoClicked,investments_etf_holding_xirr_info_clicked,Yes,Fired in etf_holding_card.dart
Investments,investmentsSearchInitiated,investments_search_initiated,No,Defined only
Investments,investmentsSearchQueryEntered,investments_search_query_entered,No,Defined only
Investments,investmentsNavigateToSaafeDataFetch,investments_navigate_to_saafe_data_fetch,No,Defined only
Investments,investmentsAccountLinkBottomSheetShown,investments_account_link_bottom_sheet_shown,No,Defined only
Investments,investmentsAccountLinkNowClicked,investments_account_link_now_clicked,No,Defined only
Investments,investmentsNoHoldingsShown,investments_no_holdings_shown,No,Defined only
Investments,investmentsPortfolioFetchFailed,investments_portfolio_fetch_failed,No,Defined only
Investments,investmentsHoldingsFetchFailed,investments_holdings_fetch_failed,No,Defined only
Investments,holdingCardEditClicked,holding_card_edit_clicked,No,Defined only
Investments,sellHoldingsBackClicked,sell_holdings_back_clicked,No,Defined only
Profile & Settings,userProfileDataProtectionClicked,user_profile_data_protection_clicked,No,Defined only
Profile & Settings,userProfilePrivacyPolicyClicked,user_profile_privacy_policy_clicked,No,Defined only
Profile & Settings,userProfileTermsConditionsClicked,user_profile_terms_conditions_clicked,No,Defined only
Profile & Settings,userProfileBiometricLockToggled,user_profile_biometric_lock_toggled,No,Defined only
Profile & Settings,userProfileLogoutClicked,user_profile_logout_clicked,No,Defined only
Profile & Settings,userProfileLogoutCancelled,user_profile_logout_cancelled,No,Defined only
Profile & Settings,userProfileLogoutConfirmed,user_profile_logout_confirmed,No,Defined only
Profile & Settings,userProfileFinancialProfilingClicked,user_profile_financial_profiling_clicked,No,Defined only
Profile & Settings,userProfileSetPinClicked,user_profile_set_pin_clicked,No,Defined only
Profile & Settings,userProfileHelpFaqClicked,user_profile_help_faq_clicked,No,Defined only
Profile & Settings,userProfilePinSetSuccess,user_profile_pin_set_success,No,Defined only
Profile & Settings,userProfilePinMismatchError,user_profile_pin_mismatch_error,No,Defined only
Profile & Settings,userProfilePinIncompleteError,user_profile_pin_incomplete_error,No,Defined only
Profile & Settings,userProfilePinSkipClicked,user_profile_pin_skip_clicked,No,Defined only
Unlock Portfolio,unlockPortfolioScreenViewed,unlock_portfolio_screen_viewed,No,Defined only
Unlock Portfolio,unlockPortfolioUnlockButtonClicked,unlock_portfolio_unlock_button_clicked,No,Defined only
Unlock Portfolio,unlockPortfolioBackClicked,unlock_portfolio_back_clicked,No,Defined only
Unlock Portfolio,unlockPortfolioSkipToDashboard,unlock_portfolio_skip_to_dashboard,No,Defined only
Create Order / MF Invest,createOrderScreenViewed,create_order_screen_viewed,Yes,Fired in create_order_v1_screen.dart initState
Create Order / MF Invest,orderPreviewScreenViewed,create_order_preview_page,Yes,Fired in order_preview_sheet.dart initState
Create Order / MF Invest,paperTradingEditClicked,paper_trading_edit_clicked,No,Defined only
Create Order / MF Invest,mfTopPerformersInfoIconClicked,mf_top_performers_info_icon_clicked,No,Defined only
Legacy / Misc,onboardingGetStartedClicked,onboarding_get_started_clicked,No,Legacy
Legacy / Misc,residentialStatusSelected,residential_status_selected,No,Defined only
Legacy / Misc,residentialStatusNextClicked,residential_status_next_clicked,No,Defined only
